Index,RSSI,SNR
-41,0,started\n
"""",-41,0
#,-41,0
$,-41,1
%,-41,0
&,-40,0
"""",-41,1
(,-41,0
),-41,0
*,-41,0
+,-41,1
",",-41,0
-,-41,0,X,-42,X,0,reception,started\n
\x02,-42,0
\x03,-42,0
\x04,-42,1
\x05,-42,1
\x06,-43,1reoot\r\n
main():,is,(Version:
Unexpected,event,8\n
Initialization,-,the
>,rx
Listen,started\n
>,reception
\x14,-42,0
\x15,-43,1
\x16,-43,0
\x17,-43,1
\x18,-42,1
\x19,-46,1
\x1a,-43,0
\x1,-43,0
\x1c,-43,1
\x1d,-43,1
\x1e,-42,1
\x1f,-43,0
,X,X,started\n
!,-42,0
"""",-42,0
#,-42,0
$,-42,0
%,-43,0
&,-43,1
"""",-42,1
(,-43,0
),-42,0
*,-42,0
+,-43,0
",",-43,0
-,-42,0
.,-42,1
/,-42,1
0,-43,0
1,-43,0
2,-43,0
3,-42,0
4,-43,1
5,-43,1
6,-42,0
7,-42,1
8,-43,0
9,-43,0
:,-43,0
;,-42,0
<,-42,0
=,-42,0
>,-42,0
?,-42,-1
@,-42,0
A,-42,0
B,-42,0
C,-42,0
D,-43,1
E,-43,0
F,-42,0
G,-41,1
H,-43,0
I,-42,0
J,-43,0
K,-43,0
L,-42,0
M,-42,1
N,-42,0
O,-42,0
P,-42,1
Q,-42,0
R,-42,1
S,-42,0
T,-42,0
U,-42,1
V,-43,0
W,-43,1
X,-42,0
Y,-42,0
Z,-43,0
\x02,-43,1
\x03,-42,1
\x04,-43,0
\x05,-43,1
\x06,-43,1
